ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,x2,Pressure,VapourPressure2,Type,Temperature,Reference
1188,oxygen,water,3.71257E-05,3.71257224893938E-07,1,1,7,VLE,273.15,NIST
1189,oxygen,water,3.3636E-05,3.36359537814991E-07,1,1,7,VLE,278.15,NIST
1190,oxygen,water,3.05806E-05,3.05806463067078E-07,1,1,7,VLE,283.15,NIST
1191,oxygen,water,2.78949E-05,2.78949016749562E-07,1,1,7,VLE,288.15,NIST
1192,oxygen,water,2.55249E-05,2.55249460326319E-07,1,1,7,VLE,293.15,NIST
1193,oxygen,water,0.000023426,0.00000023426,1,1,7,VLE,298.15,NIST
1194,oxygen,water,2.15606E-05,2.15605959396775E-07,1,1,7,VLE,303.15,NIST
1195,oxygen,water,1.98972E-05,1.98972408786709E-07,1,1,7,VLE,308.15,NIST
1196,oxygen,water,1.84093E-05,1.84093481686105E-07,1,1,7,VLE,313.15,NIST
1197,oxygen,water,1.70744E-05,1.707437932094E-07,1,1,7,VLE,318.15,NIST
1198,oxygen,water,1.58732E-05,1.58731511483566E-07,1,1,7,VLE,323.15,NIST
1199,oxygen,water,1.47893E-05,1.47892736298837E-07,1,1,7,VLE,328.15,NIST
1200,oxygen,water,1.38087E-05,1.38086916915942E-07,1,1,7,VLE,333.15,NIST
1201,oxygen,water,1.29193E-05,1.29193100069418E-07,1,1,7,VLE,338.15,NIST
1202,oxygen,water,1.21107E-05,1.21106844423193E-07,1,1,7,VLE,343.15,NIST
1203,oxygen,water,1.13738E-05,1.1373767251127E-07,1,1,7,VLE,348.15,NIST
1204,oxygen,water,1.07007E-05,1.07006958087523E-07,1,1,7,VLE,353.15,NIST
1205,oxygen,water,1.00846E-05,1.00846167710021E-07,1,1,7,VLE,358.15,NIST
1206,oxygen,water,9.51954E-06,9.51953917122881E-08,1,1,7,VLE,363.15,NIST
1207,oxygen,water,9.00021E-06,9.00021125290584E-08,1,1,7,VLE,368.15,NIST
